epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.902,3.42678,0.33305,0.44959,2.50121,2.95556,0.63699,0.46427,0.57025,0.26789,0.28399,0.18294,0.23096,0.22554,2.28347,0.96431,0.39312,1.70676,2.08476,0.00055459,0.00055459,0.00055459
2,323.267,2.12306,0.32966,0.35117,1.54254,1.80796,0.7981,0.51308,0.66314,0.36762,0.33978,0.18535,0.25963,0.25415,1.89729,0.96996,0.34704,1.34977,1.66617,0.00110806,0.00110806,0.00110806
3,480.106,1.8598,0.31125,0.32002,1.29399,1.56022,0.72761,0.66306,0.73776,0.41988,0.31132,0.20464,0.25652,0.25137,1.69186,0.97802,0.40024,1.21815,1.44507,0.00165933,0.00165933,0.00165933
4,636.391,1.75288,0.28586,0.31304,1.17897,1.47326,0.84339,0.62845,0.75042,0.46669,0.31178,0.21308,0.2629,0.25905,1.57951,0.96645,0.34715,1.0665,1.38919,0.0016571,0.0016571,0.0016571
5,792.14,1.65105,0.33561,0.30337,1.09995,1.40063,0.75087,0.74966,0.79383,0.49125,0.3201,0.2129,0.25663,0.25414,1.51417,0.9658,0.32644,0.99451,1.32674,0.0016538,0.0016538,0.0016538
6,946.89,1.62381,0.3018,0.28599,1.06389,1.37594,0.78354,0.74441,0.79442,0.48945,0.31609,0.21446,0.25707,0.25455,1.5144,0.9619,0.31213,0.93056,1.31894,0.0016505,0.0016505,0.0016505
7,1102.81,1.55261,0.34892,0.28747,1.00905,1.32971,0.81811,0.72475,0.81479,0.50053,0.32451,0.21346,0.25837,0.25582,1.44366,0.96481,0.2908,0.92721,1.28384,0.0016472,0.0016472,0.0016472
8,1260.18,1.51357,0.29972,0.27099,0.9709,1.30451,0.81313,0.77201,0.83461,0.52025,0.32046,0.21218,0.25427,0.2523,1.43693,0.96223,0.29122,0.86385,1.27002,0.0016439,0.0016439,0.0016439
9,1416.14,1.46876,0.364,0.25999,0.93687,1.27779,0.85523,0.72398,0.81217,0.53895,0.33097,0.21278,0.27098,0.26856,1.37237,0.95652,0.27669,0.85608,1.23375,0.00164059,0.00164059,0.00164059
10,1572.35,1.44012,0.33851,0.24208,0.91555,1.26842,0.82945,0.77857,0.83417,0.54207,0.31347,0.2173,0.27343,0.27126,1.36099,0.96003,0.34961,0.82732,1.22379,0.00163729,0.00163729,0.00163729
11,1727.82,1.42713,0.29633,0.2401,0.87889,1.24624,0.83686,0.77892,0.83566,0.5446,0.31979,0.21874,0.27469,0.27296,1.37242,0.95872,0.29156,0.80607,1.22242,0.00163399,0.00163399,0.00163399
12,1883.39,1.40911,0.34034,0.23101,0.85648,1.23382,0.82895,0.78973,0.84471,0.54851,0.33144,0.21275,0.27082,0.2685,1.36755,0.95572,0.29004,0.8023,1.22048,0.00163069,0.00163069,0.00163069
13,2038.68,1.3719,0.37323,0.22744,0.83211,1.21735,0.80662,0.77969,0.82363,0.54411,0.32892,0.20886,0.26997,0.26805,1.34573,0.95895,0.34173,0.81042,1.20853,0.00162739,0.00162739,0.00162739
14,2193.71,1.36482,0.30476,0.22356,0.82457,1.21158,0.84132,0.79399,0.8609,0.56517,0.34442,0.21217,0.26656,0.26469,1.33137,0.95267,0.25323,0.77645,1.19735,0.00162409,0.00162409,0.00162409
15,2350.88,1.36096,0.31978,0.2125,0.81667,1.21072,0.84693,0.8006,0.85121,0.54885,0.34016,0.20766,0.27166,0.26984,1.33666,0.95425,0.3,0.76377,1.19662,0.00162079,0.00162079,0.00162079
16,2505.7,1.33307,0.29039,0.20913,0.79374,1.19272,0.82309,0.79555,0.84163,0.5648,0.34871,0.20701,0.27668,0.27495,1.2999,0.95477,0.27385,0.7628,1.18628,0.00161749,0.00161749,0.00161749
17,2661.46,1.32212,0.37098,0.20996,0.79846,1.18216,0.84254,0.78216,0.83526,0.57162,0.33271,0.21218,0.27633,0.2746,1.28321,0.95155,0.27253,0.74299,1.1725,0.00161419,0.00161419,0.00161419
18,2817.11,1.30582,0.26886,0.19756,0.76728,1.17729,0.86049,0.80657,0.86594,0.5765,0.33264,0.21445,0.26515,0.26323,1.29969,0.95269,0.26171,0.7205,1.178,0.00161089,0.00161089,0.00161089
19,2971.5,1.30793,0.3272,0.20098,0.7674,1.16944,0.84998,0.81713,0.87252,0.5772,0.32473,0.22061,0.26841,0.26674,1.29209,0.95167,0.26052,0.72253,1.16996,0.00160759,0.00160759,0.00160759
20,3127.32,1.29484,0.3171,0.19505,0.76464,1.1683,0.84269,0.83055,0.87331,0.58095,0.32612,0.21311,0.26749,0.26597,1.28725,0.95412,0.24816,0.71197,1.16922,0.00160429,0.00160429,0.00160429
21,3283.81,1.28187,0.3903,0.19587,0.74179,1.1606,0.84263,0.81857,0.85522,0.57813,0.32985,0.21609,0.2716,0.26967,1.27526,0.95358,0.26461,0.70632,1.16588,0.00160099,0.00160099,0.00160099
